Year,Month,Total Trips
01/01/1996,1,4812000
02/01/1996,2,4789000
03/01/1996,3,5119000
04/01/1996,4,5212000
05/01/1996,5,5303000
06/01/1996,6,4912000
07/01/1996,7,5090000
08/01/1996,8,5086000
09/01/1996,9,4931000
10/01/1996,10,5473000
11/01/1996,11,4899000
12/01/1996,12,5024000
01/01/1997,1,5045000
02/01/1997,2,4632000
03/01/1997,3,5102000
04/01/1997,4,5278000
05/01/1997,5,5219000
06/01/1997,6,5222000
07/01/1997,7,5335000
08/01/1997,8,5150000
09/01/1997,9,5338000
10/01/1997,10,5615000
11/01/1997,11,4849000
12/01/1997,12,5427000
01/01/1998,1,5120000
02/01/1998,2,4858000
03/01/1998,3,5474000
04/01/1998,4,5354000
05/01/1998,5,5221000
06/01/1998,6,5557000
07/01/1998,7,5657000
08/01/1998,8,5398000
09/01/1998,9,5473000
10/01/1998,10,5838000
11/01/1998,11,5296000
12/01/1998,12,5744000
01/01/1999,1,5089000
02/01/1999,2,5013000
03/01/1999,3,5876000
04/01/1999,4,5652000
05/01/1999,5,5457000
06/01/1999,6,5781000
07/01/1999,7,5596000
08/01/1999,8,5683000
09/01/1999,9,5605000
10/01/1999,10,5926000
11/01/1999,11,5698000
12/01/1999,12,5958000
01/01/2000,1,5462000
02/01/2000,2,5614000
03/01/2000,3,6435000
04/01/2000,4,5756000
05/01/2000,5,6441000
06/01/2000,6,6463000
07/01/2000,7,6032000
08/01/2000,8,6559000
09/01/2000,9,6285000
10/01/2000,10,6726000
11/01/2000,11,6291000
12/01/2000,12,6022000
01/01/2001,1,6246000
02/01/2001,2,5696000
03/01/2001,3,6654000
04/01/2001,4,6221000
05/01/2001,5,6485000
06/01/2001,6,6304000
07/01/2001,7,6217000
08/01/2001,8,6461000
09/01/2001,9,4927000
10/01/2001,10,5425000
11/01/2001,11,4722000
12/01/2001,12,4432000
01/01/2002,1,4479000
02/01/2002,2,4058000
03/01/2002,3,4464000
04/01/2002,4,4602000
05/01/2002,5,4521000
06/01/2002,6,4270000
07/01/2002,7,4352000
08/01/2002,8,4356000
09/01/2002,9,4263000
10/01/2002,10,4451000
11/01/2002,11,4010000
12/01/2002,12,4094000
01/01/2003,1,4001000
02/01/2003,2,3577000
03/01/2003,3,4071000
04/01/2003,4,4001000
05/01/2003,5,3973000
06/01/2003,6,3931000
07/01/2003,7,4130000
08/01/2003,8,3701000
09/01/2003,9,3984000
10/01/2003,10,4232000
11/01/2003,11,3844000
12/01/2003,12,4477000
01/01/2004,1,4281000
02/01/2004,2,4376000
03/01/2004,3,4970000
04/01/2004,4,4830000
05/01/2004,5,4744000
06/01/2004,6,5059000
07/01/2004,7,4896000
08/01/2004,8,4939000
09/01/2004,9,4912000
10/01/2004,10,4965000
11/01/2004,11,4708000
12/01/2004,12,5025000
01/01/2005,1,4585000
02/01/2005,2,4413000
03/01/2005,3,5037000
04/01/2005,4,5080000
05/01/2005,5,5127000
06/01/2005,6,5320000
07/01/2005,7,5076000
08/01/2005,8,5281000
09/01/2005,9,5193000
10/01/2005,10,5215000
11/01/2005,11,5114000
12/01/2005,12,5330000
01/01/2006,1,5060000
02/01/2006,2,4843000
03/01/2006,3,5796000
04/01/2006,4,5264000
05/01/2006,5,5845000
06/01/2006,6,5804000
07/01/2006,7,5473000
08/01/2006,8,5889000
09/01/2006,9,5592000
10/01/2006,10,5996000
11/01/2006,11,5726000
12/01/2006,12,5623000
01/01/2007,1,5664000
02/01/2007,2,5101000
03/01/2007,3,6031000
04/01/2007,4,5744000
05/01/2007,5,6249000
06/01/2007,6,6158000
07/01/2007,7,6104000
08/01/2007,8,6337000
09/01/2007,9,5933000
10/01/2007,10,6636000
11/01/2007,11,5962000
12/01/2007,12,5673000
01/01/2008,1,5950000
02/01/2008,2,5733000
03/01/2008,3,6199000
04/01/2008,4,6424000
05/01/2008,5,6375000
06/01/2008,6,6387000
07/01/2008,7,6617000
08/01/2008,8,6372000
09/01/2008,9,6355000
10/01/2008,10,6765000
11/01/2008,11,5735000
12/01/2008,12,6040000
01/01/2009,1,5688000
02/01/2009,2,5528000
03/01/2009,3,6256000
04/01/2009,4,6177000
05/01/2009,5,5938000
06/01/2009,6,6205000
07/01/2009,7,6330000
08/01/2009,8,5957000
09/01/2009,9,6100000
10/01/2009,10,6353000
11/01/2009,11,5828000
12/01/2009,12,5920000
01/01/2010,1,5535000
02/01/2010,2,5132000
03/01/2010,3,6469000
04/01/2010,4,6277000
05/01/2010,5,6154000
06/01/2010,6,6482000
07/01/2010,7,6369000
08/01/2010,8,6398000
09/01/2010,9,6345000
10/01/2010,10,6564000
11/01/2010,11,6181000
12/01/2010,12,6005000
01/01/2011,1,5677000
02/01/2011,2,5608000
03/01/2011,3,6745000
04/01/2011,4,6328000
05/01/2011,5,6432000
06/01/2011,6,6772000
07/01/2011,7,6419000
08/01/2011,8,6476000
09/01/2011,9,6565000
10/01/2011,10,6708000
11/01/2011,11,6377000
12/01/2011,12,6448000
01/01/2012,1,6128000
02/01/2012,2,6151000
03/01/2012,3,6953000
04/01/2012,4,6446000
05/01/2012,5,6755000
06/01/2012,6,6617000
07/01/2012,7,6690000
08/01/2012,8,6793000
09/01/2012,9,6355000
10/01/2012,10,6272000
11/01/2012,11,2944000
12/01/2012,12,4459000
01/01/2013,1,5316000
02/01/2013,2,5153000
03/01/2013,3,5939000
04/01/2013,4,6316000
05/01/2013,5,6390000
06/01/2013,6,6144000
07/01/2013,7,6439000
08/01/2013,8,6383000
